Date,Steps
8/16/2021,"3,999.00"
8/17/2021,"4,049.00"
8/18/2021,"3,396.00"
8/19/2021,"4,277.00"
8/20/2021,"4,776.00"
8/21/2021,"6,862.00"
8/22/2021,"4,475.00"
8/23/2021,"3,629.00"
8/24/2021,"6,224.00"
8/25/2021,"4,757.00"
8/26/2021,"4,240.00"
8/27/2021,"8,751.00"
8/28/2021,"6,292.00"
8/29/2021,"5,593.00"
8/30/2021,"4,737.00"
8/31/2021,"3,274.00"
9/1/2021,"5,438.00"
9/2/2021,"9,321.00"
9/3/2021,"4,386.00"
9/4/2021,"5,231.00"
9/5/2021,"4,793.00"
9/6/2021,731.00
9/7/2021,978.00
9/8/2021,"1,151.00"
9/9/2021,"4,386.00"
9/10/2021,923.00
9/11/2021,"4,908.00"
9/12/2021,"4,401.00"
9/13/2021,"4,019.00"
9/14/2021,"4,479.00"
9/15/2021,"8,363.00"
9/16/2021,"3,447.00"
9/17/2021,"4,161.00"
9/18/2021,"4,486.00"
9/19/2021,"12,176.00"
9/20/2021,"3,879.00"
9/21/2021,"6,158.00"
9/22/2021,"3,818.00"
9/23/2021,"3,589.00"
9/24/2021,"5,198.00"
9/25/2021,"5,419.00"
9/26/2021,"4,126.00"
9/27/2021,"4,243.00"
9/28/2021,"3,827.00"
9/29/2021,"4,477.00"
9/30/2021,"3,884.00"
10/1/2021,"4,210.00"
10/2/2021,"5,282.00"
10/3/2021,"3,733.00"
10/4/2021,"4,602.00"
10/5/2021,"3,432.00"
10/6/2021,"5,020.00"
10/7/2021,"5,772.00"
10/8/2021,"7,034.00"
10/9/2021,"9,058.00"
10/10/2021,"5,124.00"
10/11/2021,"5,317.00"
10/12/2021,"7,428.00"
10/13/2021,"8,658.00"
10/14/2021,"4,638.00"
10/15/2021,"5,611.00"
10/16/2021,"6,037.00"
10/17/2021,"8,165.00"
10/18/2021,"5,790.00"
10/19/2021,"3,950.00"
10/20/2021,"4,941.00"
10/21/2021,"6,222.00"
10/22/2021,"5,335.00"
10/23/2021,"4,661.00"
10/24/2021,"6,267.00"
10/25/2021,"4,152.00"
10/26/2021,"6,133.00"
10/27/2021,"5,511.00"
10/28/2021,"5,196.00"
10/29/2021,"4,418.00"
10/30/2021,"5,340.00"
10/31/2021,"1,744.00"
11/1/2021,"5,091.00"
11/2/2021,"5,426.00"
11/3/2021,"4,495.00"
11/4/2021,"3,482.00"
11/5/2021,"3,705.00"
11/6/2021,"5,792.00"
11/7/2021,"5,204.00"
11/8/2021,"5,136.00"
11/9/2021,"4,375.00"
11/10/2021,"4,078.00"
11/11/2021,"3,819.00"
11/12/2021,"6,927.00"
11/13/2021,"4,866.00"
11/14/2021,"6,756.00"
11/15/2021,"4,485.00"
11/16/2021,"3,928.00"
11/17/2021,"4,036.00"
11/18/2021,"4,796.00"
11/19/2021,"4,974.00"
11/20/2021,"5,990.00"
11/21/2021,866.00
11/22/2021,"4,811.00"
11/23/2021,"4,709.00"
11/24/2021,"4,193.00"
11/25/2021,"4,043.00"
11/26/2021,"4,549.00"
11/27/2021,"5,898.00"
11/28/2021,"4,281.00"
11/29/2021,"4,482.00"
11/30/2021,"5,868.00"
12/1/2021,"3,152.00"
12/2/2021,"5,165.00"
12/3/2021,"4,566.00"
12/4/2021,"5,340.00"
12/5/2021,"6,692.00"
12/6/2021,"4,164.00"
12/7/2021,"3,739.00"
12/8/2021,"8,066.00"
12/9/2021,"2,212.00"
12/10/2021,"4,315.00"
12/11/2021,"8,147.00"
12/12/2021,"5,052.00"
12/13/2021,"2,952.00"
12/14/2021,"4,218.00"
12/15/2021,"4,552.00"
12/16/2021,651.00
